id,sieve_set_id,screen,start_weight,sort_order,is_active,create_date,create_user_id,edit_date,edit_user_id
BBBBB,6,200,220.1,59,1,2014-03-27 09:30:00,20,2017-01-13 12:48:39,425
BBBBB,6,PAN,269.6,60,1,2014-03-27 09:30:00,20,2017-01-13 12:48:39,425
BBBBB,7,40,253.6,61,1,2014-03-27 09:30:00,20,2017-01-13 10:55:46,425
BBBBB,7,50,241.5,62,1,2014-03-27 09:30:00,20,2017-01-13 10:55:46,425
BBBBB,7,60,241.7,63,1,2014-03-27 09:30:00,20,2017-01-13 10:55:46,425
BBBBB,7,70,237.2,64,1,2014-03-27 09:30:00,20,2017-01-13 10:55:46,425
BBBBB,7,80,239,65,1,2014-03-27 09:30:00,20,2017-01-13 10:55:46,425
BBBBB,7,100,236.6,66,1,2014-03-27 09:30:00,20,2017-01-13 10:55:46,425
BBBBB,7,120,234.3,67,1,2014-03-27 09:30:00,20,2017-01-13 10:55:46,425
BBBBB,7,140,227.8,68,1,2014-03-27 09:30:00,20,2017-01-13 10:55:46,425
BBBBB,7,200,221.3,69,1,2014-03-27 09:30:00,20,2017-01-13 10:55:46,425
BBBBB,8,40,256.3,70,1,2014-03-27 09:30:00,20,2017-01-13 07:53:20,388
BBBBB,8,50,250.9,71,1,2014-03-27 09:30:00,20,2017-01-13 07:53:20,388
BBBBB,8,60,239.7,72,1,2014-03-27 09:30:00,20,2017-01-13 07:53:20,388
BBBBB,8,70,245.2,73,1,2014-03-27 09:30:00,20,2017-01-13 07:53:20,388
BBBBB,8,80,236.3,74,1,2014-03-27 09:30:00,20,2017-01-13 07:53:20,388
BBBBB,8,100,229.5,75,1,2014-03-27 09:30:00,20,2017-01-13 07:53:20,388
BBBBB,8,120,232.9,76,1,2014-03-27 09:30:00,20,2017-01-13 07:53:20,388
BBBBB,8,140,221.5,77,1,2014-03-27 09:30:00,20,2017-01-13 07:53:20,388
BBBBB,8,200,218.7,78,1,2014-03-27 09:30:00,20,2017-01-13 07:53:20,388
BBBBB,8,PAN,271.9,79,1,2014-03-27 09:30:00,20,2017-01-13 07:53:20,388
BBBBB,9,40,257.3,80,1,2014-03-27 09:30:00,20,2017-01-13 07:51:53,425
BBBBB,9,50,243.3,81,1,2014-03-27 09:30:00,20,2017-01-13 07:51:53,425
BBBBB,9,60,239.2,82,1,2014-03-27 09:30:00,20,2017-01-13 07:51:53,425
BBBBB,9,70,240.8,83,1,2014-03-27 09:30:00,20,2017-01-13 07:51:53,425
BBBBB,9,80,238.1,84,1,2014-03-27 09:30:00,20,2017-01-13 07:51:53,425
BBBBB,9,100,235,85,1,2014-03-27 09:30:00,20,2017-01-13 07:51:53,425
BBBBB,9,120,230.8,86,1,2014-03-27 09:30:00,20,2017-01-13 07:51:53,425
BBBBB,9,140,224.3,87,1,2014-03-27 09:30:00,20,2017-01-13 07:51:53,425
BBBBB,9,200,217.3,88,1,2014-03-27 09:30:00,20,2017-01-13 07:51:53,425
BBBBB,9,PAN,273.1,89,1,2014-03-27 09:30:00,20,2017-01-13 07:51:53,425
BBBBB,10,40,259.3,90,1,2014-03-27 09:30:00,20,2017-01-13 02:05:18,689
BBBBB,10,50,257,91,1,2014-03-27 09:30:00,20,2017-01-13 02:05:18,689
BBBBB,10,60,239.4,92,1,2014-03-27 09:30:00,20,2017-01-13 02:05:18,689
BBBBB,10,70,235.7,93,1,2014-03-27 09:30:00,20,2017-01-13 02:05:18,689
BBBBB,10,80,235.3,94,1,2014-03-27 09:30:00,20,2017-01-13 02:05:18,689
BBBBB,10,100,241.2,95,1,2014-03-27 09:30:00,20,2017-01-13 02:05:18,689
BBBBB,10,120,230.1,96,1,2014-03-27 09:30:00,20,2017-01-13 02:05:18,689
BBBBB,10,140,222.1,97,1,2014-03-27 09:30:00,20,2017-01-13 02:05:18,689
BBBBB,10,200,224.6,98,1,2014-03-27 09:30:00,20,2017-01-13 02:05:18,689
